Level 1, 8 product categories;Level 1, 8 product categories;Level_1;Level_2_5;Level 4, 204 item strata;Item_codes;Ucc_codes;CPI  Weight (probably 2013)
Housing;Alcoholic beverages;Commodities less food and energy commodities;Alcoholic beverages;Beer, ale, and other malt beverages at home;SEFW01;;
Transportation;Alcoholic beverages;Commodities less food and energy commodities;Alcoholic beverages;Wine at home;SEFW03;;
Food and beverages;Alcoholic beverages;Commodities less food and energy commodities;Alcoholic beverages;Distilled spirits at home;SEFW02;;
Medical care;Alcoholic beverages;Commodities less food and energy commodities;Alcoholic beverages;Alcoholic beverages away from home;SEFX01;;
Education and communication;Household furnishings and supplies;Commodities less food and energy commodities;Household furnishings and supplies;Major appliances;SEHK01;;
Recreation;Household furnishings and supplies;Commodities less food and energy commodities;Household furnishings and supplies;Other appliances;SEHK02;;
Apparel;Household furnishings and supplies;Commodities less food and energy commodities;Household furnishings and supplies;Unsampled appliances;SEHK09;;
Other goods and services;Nonalcoholic beverages and beverage materials;Food at home;Nonalcoholic beverages and beverage materials;Coffee;SEFP01;;
;Nonalcoholic beverages and beverage materials;Food at home;Nonalcoholic beverages and beverage materials;Other beverage materials including tea;SEFP02;;
;Cereals and bakery products;Food at home;Cereals and bakery products;Breakfast cereal;SEFA02;;
;Cereals and bakery products;Food at home;Cereals and bakery products;Other bakery products;SEFB04;;
;Cereals and bakery products;Food at home;Cereals and bakery products;Bread;SEFB01;;
;Cereals and bakery products;Food at home;Cereals and bakery products;Cakes, cupcakes, and cookies;SEFB03;;
;Cereals and bakery products;Food at home;Cereals and bakery products;Rice, pasta, cornmeal;SEFA03;;
;Cereals and bakery products;Food at home;Cereals and bakery products;Fresh biscuits, rolls, muffins;SEFB02;;
;Cereals and bakery products;Food at home;Cereals and bakery products;Flour and prepared flour mixes;SEFA01;;
;Dairy and related products;Food at home;Dairy and related products;Cheese and related products;SEFJ02;;
;Shelter;Education and communication services;Education and communication services;College tuition and fees;SEEB01;;
;Shelter;Education and communication services;Education and communication services;Wireless telephone services;SEED03;;
;Shelter;Education and communication services;Education and communication services;Residential telephone services;SEED04;;
;Shelter;Education and communication services;Education and communication services;Day care and preschool;SEEB03;;
;Shelter;Education and communication services;Education and communication services;Internet services and electronic information providers;SEEE03;;
;Shelter;Education and communication services;Education and communication services;Elementary and high school tuition and fees;SEEB02;;
;Shelter;Education and communication services;Education and communication services;Postage;SEEC01;;
;Shelter;Education and communication services;Education and communication services;Unsampled tuition, other school fees, and childcare;SEEB09;;
;Shelter;Education and communication services;Education and communication services;Technical and business school tuition and fees;SEEB04;;
;Shelter;Education and communication services;Education and communication services;Unsampled information and information processing;SEEE09;;
;Shelter;Education and communication services;Education and communication services;Delivery services;SEEC02;;
;Education and communication commodities;Commodities less food and energy commodities;Education and communication commodities;Educational books and supplies;SEEA01;;
;Education and communication commodities;Commodities less food and energy commodities;Education and communication commodities;Computer software and accessories;SEEE02;;
;Electricity;Energy services;Electricity;Electricity;SEHF01;;
;Other food at home;Food at home;Other food at home;Other miscellaneous foods;SEFT06;;
;Other food at home;Food at home;Other food at home;Snacks;SEFT03;;
;Other food at home;Food at home;Other food at home;Frozen and freeze dried prepared foods;SEFT02;;
;Other food at home;Food at home;Other food at home;Spices, seasonings, condiments, sauces;SEFT04;;
;Other food at home;Food at home;Other food at home;Other fats and oils including peanut butter;SEFS03;;
;Other food at home;Food at home;Other food at home;Soups;SEFT01;;
;Other food at home;Food at home;Other food at home;Butter and margarine;SEFS01;;
;Other food at home;Food at home;Other food at home;Baby food;SEFT05;;
;Other food at home;Food at home;Other food at home;Salad dressing;SEFS02;;
;Food at employee sites and schools;Food away from home;Food at employee sites and schools;Food at employee sites and schools;SEFV03;;
;Food from vending machines and mobile vendors;Food away from home;Food from vending machines and mobile vendors;Food from vending machines and mobile vendors;SEFV04;;
;Apparel;Commodities less food and energy commodities;Apparel;Women’s footwear;SEAE03;;
;Apparel;Commodities less food and energy commodities;Apparel;Men’s footwear;SEAE01;;
;Apparel;Commodities less food and energy commodities;Apparel;Boys’ and girls’ footwear;SEAE02;;
;Fruits and vegetables;Food at home;Fruits and vegetables;Other fresh vegetables;SEFL04;;
;Fruits and vegetables;Food at home;Fruits and vegetables;Other fresh fruits;SEFK04;;
;Fruits and vegetables;Food at home;Fruits and vegetables;Canned fruits and vegetables;SEFM01;;
;Fruits and vegetables;Food at home;Fruits and vegetables;Citrus fruits;SEFK03;;
;Fruits and vegetables;Food at home;Fruits and vegetables;Frozen fruits and vegetables;SEFM02;;
;Fruits and vegetables;Food at home;Fruits and vegetables;Apples;SEFK01;;
;Fruits and vegetables;Food at home;Fruits and vegetables;Tomatoes;SEFL03;;
;Fruits and vegetables;Food at home;Fruits and vegetables;Bananas;SEFK02;;
;Fruits and vegetables;Food at home;Fruits and vegetables;Potatoes;SEFL01;;
;Fruits and vegetables;Food at home;Fruits and vegetables;Lettuce;SEFL02;;
;Fruits and vegetables;Food at home;Fruits and vegetables;Other processed fruits and vegetables including dried;SEFM03;;
;Fuel oil and other fuels;Energy commodities;Fuel oil and other fuels;Fuel oil;SEHE01;;
;Full service meals and snacks;Food away from home;Full service meals and snacks;Full service meals and snacks;SEFV01;;
;Household furnishings and supplies;Commodities less food and energy commodities;Household furnishings and supplies;Living room, kitchen, and dining room furniture;SEHJ02;;
;Household furnishings and supplies;Commodities less food and energy commodities;Household furnishings and supplies;Bedroom furniture;SEHJ01;;
;Household furnishings and supplies;Commodities less food and energy commodities;Household furnishings and supplies;Other furniture;SEHJ03;;
;Household furnishings and supplies;Commodities less food and energy commodities;Household furnishings and supplies;Unsampled furniture;SEHJ09;;
;Motor fuel;Energy commodities;Motor fuel;Gasoline (all types);SETB01;;
;Shelter;Household operations;Household operations;Gardening and lawncare services;SEHP02;;
;Shelter;Household operations;Household operations;Moving, storage, freight expense;SEHP03;;
;Shelter;Household operations;Household operations;Repair of household items;SEHP04;;
;Shelter;Household operations;Household operations;Unsampled household operations;SEHP09;;
;Household furnishings and supplies;Commodities less food and energy commodities;Household furnishings and supplies;Household cleaning products;SEHN01;;
;Household furnishings and supplies;Commodities less food and energy commodities;Household furnishings and supplies;Miscellaneous household products;SEHN03;;
;Household furnishings and supplies;Commodities less food and energy commodities;Household furnishings and supplies;Household paper products;SEHN02;;
;Dairy and related products;Food at home;Dairy and related products;Ice cream and related products;SEFJ03;;
;Apparel;Commodities less food and energy commodities;Apparel;Infants’ and toddlers’ apparel;SEAF01;;
;Education and communication commodities;Commodities less food and energy commodities;Education and communication commodities;Computers, peripherals, and smart home assistants;SEEE01;;
;Education and communication commodities;Commodities less food and energy commodities;Education and communication commodities;Telephone hardware, calculators, and other consumer information items;SEEE04;;
;Apparel;Commodities less food and energy commodities;Apparel;Jewelry;SEAG02;;
;Apparel;Commodities less food and energy commodities;Apparel;Watches;SEAG01;;
;Nonalcoholic beverages and beverage materials;Food at home;Nonalcoholic beverages and beverage materials;Nonfrozen noncarbonated juices and drinks;SEFN03;;
;Nonalcoholic beverages and beverage materials;Food at home;Nonalcoholic beverages and beverage materials;Carbonated drinks;SEFN01;;
;Nonalcoholic beverages and beverage materials;Food at home;Nonalcoholic beverages and beverage materials;Frozen noncarbonated juices and drinks;SEFN02;;
;Limited service meals and snacks;Food away from home;Limited service meals and snacks;Limited service meals and snacks;SEFV02;;
;Meats, poultry, fish, and eggs;Food at home;Meats, poultry, fish, and eggs;Chicken;SEFF01;;
;Meats, poultry, fish, and eggs;Food at home;Meats, poultry, fish, and eggs;Other meats;SEFE01;;
;Meats, poultry, fish, and eggs;Food at home;Meats, poultry, fish, and eggs;Uncooked ground beef;SEFC01;;
;Meats, poultry, fish, and eggs;Food at home;Meats, poultry, fish, and eggs;Uncooked beef steaks;SEFC03;;
;Meats, poultry, fish, and eggs;Food at home;Meats, poultry, fish, and eggs;Fresh fish and seafood;SEFG01;;
;Meats, poultry, fish, and eggs;Food at home;Meats, poultry, fish, and eggs;Processed fish and seafood;SEFG02;;
;Meats, poultry, fish, and eggs;Food at home;Meats, poultry, fish, and eggs;Bacon, breakfast sausage, and related products;SEFD01;;
;Meats, poultry, fish, and eggs;Food at home;Meats, poultry, fish, and eggs;Eggs;SEFH01;;
;Meats, poultry, fish, and eggs;Food at home;Meats, poultry, fish, and eggs;Other pork including roasts, steaks, and ribs;SEFD04;;
;Meats, poultry, fish, and eggs;Food at home;Meats, poultry, fish, and eggs;Uncooked beef roasts;SEFC02;;
;Meats, poultry, fish, and eggs;Food at home;Meats, poultry, fish, and eggs;Ham;SEFD02;;
;Meats, poultry, fish, and eggs;Food at home;Meats, poultry, fish, and eggs;Other uncooked poultry including turkey;SEFF02;;
;Meats, poultry, fish, and eggs;Food at home;Meats, poultry, fish, and eggs;Pork chops;SEFD03;;
;Meats, poultry, fish, and eggs;Food at home;Meats, poultry, fish, and eggs;Uncooked other beef and veal;SEFC04;;
;Shelter;Medical care services;Medical care services;Physicians’ services;SEMC01;;
;Shelter;Medical care services;Medical care services;Hospital services;SEMD01;;
;Shelter;Medical care services;Medical care services;Dental services;SEMC02;;
;Shelter;Medical care services;Medical care services;Health insurance;SEME;;
;Shelter;Medical care services;Medical care services;Services by other medical professionals;SEMC04;;
;Shelter;Medical care services;Medical care services;Eyeglasses and eye care;SEMC03;;
;Shelter;Medical care services;Medical care services;Nursing homes and adult day services;SEMD02;;
;Shelter;Medical care services;Medical care services;Care of invalids and elderly at home;SEMD03;;
;Medical care commodities;Commodities less food and energy commodities;Medical care commodities;Prescription drugs;SEMF01;;
;Medical care commodities;Commodities less food and energy commodities;Medical care commodities;Medical equipment and supplies;SEMG01;;
;Medical care commodities;Commodities less food and energy commodities;Medical care commodities;Nonprescription drugs;SEMF02;;
;Apparel;Commodities less food and energy commodities;Apparel;Men’s shirts and sweaters;SEAA03;;
;Apparel;Commodities less food and energy commodities;Apparel;Men’s underwear, nightwear, swimwear and accessories;SEAA02;;
;Apparel;Commodities less food and energy commodities;Apparel;Boys’ apparel;SEAB01;;
;Apparel;Commodities less food and energy commodities;Apparel;Men’s pants and shorts;SEAA04;;
;Apparel;Commodities less food and energy commodities;Apparel;Men’s suits, sport coats, and outerwear;SEAA01;;
;Apparel;Commodities less food and energy commodities;Apparel;Unsampled men’s apparel;SEAA09;;
;Dairy and related products;Food at home;Dairy and related products;Milk;SEFJ01;;
;Other goods;Commodities less food and energy commodities;Other goods;Miscellaneous personal goods;SEGE01;;
;Transportation commodities less motor fuel;Commodities less food and energy commodities;Transportation commodities less motor fuel;Tires;SETC01;;
;Transportation commodities less motor fuel;Commodities less food and energy commodities;Transportation commodities less motor fuel;Vehicle accessories other than tires;SETC02;;
;Transportation commodities less motor fuel;Commodities less food and energy commodities;Transportation commodities less motor fuel;New vehicles;SETA01;;
;Dairy and related products;Food at home;Dairy and related products;Other dairy and related products;SEFJ04;;
;Other food away from home;Food away from home;Other food away from home;Other food away from home;SEFV05;;
;Household furnishings and supplies;Commodities less food and energy commodities;Household furnishings and supplies;Clocks, lamps, and decorator items;SEHL01;;
;Household furnishings and supplies;Commodities less food and energy commodities;Household furnishings and supplies;Indoor plants and flowers;SEHL02;;
;Household furnishings and supplies;Commodities less food and energy commodities;Household furnishings and supplies;Nonelectric cookware and tableware;SEHL04;;
;Household furnishings and supplies;Commodities less food and energy commodities;Household furnishings and supplies;Dishes and flatware;SEHL03;;
;Motor fuel;Energy commodities;Motor fuel;Other motor fuels;SETB02;;
;Shelter;Other personal services;Other personal services;Haircuts and other personal care services;SEGC01;;
;Shelter;Other personal services;Other personal services;Legal services;SEGD01;;
;Shelter;Other personal services;Other personal services;Laundry and dry cleaning services;SEGD03;;
;Shelter;Other personal services;Other personal services;Financial services;SEGD05;;
;Shelter;Other personal services;Other personal services;Funeral expenses;SEGD02;;
;Shelter;Other personal services;Other personal services;Unsampled service policies;SETD09;;
;Shelter;Other personal services;Other personal services;Apparel services other than laundry and dry cleaning;SEGD04;;
;Shelter;Commodities less food and energy commodities;Recreation commodities;Toys;SERE01;;
;Shelter;Commodities less food and energy commodities;Recreation commodities;Unsampled items;SEGD09;;
;Shelter;Commodities less food and energy commodities;Recreation commodities;Sewing machines, fabric and supplies;SERE02;;
;Shelter;Commodities less food and energy commodities;Recreation commodities;Music instruments and accessories;SERE03;;
;Shelter;Commodities less food and energy commodities;Recreation commodities;Unsampled recreation commodities;SERE09;;
;Other goods;Commodities less food and energy commodities;Other goods;Hair, dental, shaving, and miscellaneous personal care products;SEGB01;;
;Other goods;Commodities less food and energy commodities;Other goods;Cosmetics, perfume, bath, nail preparations and implements;SEGB02;;
;Other goods;Commodities less food and energy commodities;Other goods;Unsampled personal care products;SEGB09;;
;Recreation commodities;Commodities less food and energy commodities;Recreation commodities;Pets and pet products;SERB01;;
;Recreation commodities;Commodities less food and energy commodities;Recreation commodities;Photographic equipment and supplies;SERD01;;
;Fuel oil and other fuels;Energy commodities;Fuel oil and other fuels;Propane, kerosene, and firewood;SEHE02;;
;Shelter;Recreation services;Recreation services;Cable and satellite television service;SERA02;;
;Shelter;Recreation services;Recreation services;Admissions;SERF02;;
;Shelter;Recreation services;Recreation services;Club membership for shopping clubs, fraternal, or other organizations, or participant sports fees;SERF01;;
;Shelter;Recreation services;Recreation services;Pet services including veterinary;SERB02;;
;Shelter;Recreation services;Recreation services;Unsampled recreation services;SERF09;;
;Shelter;Recreation services;Recreation services;Fees for lessons or instructions;SERF03;;
;Shelter;Recreation services;Recreation services;Video discs and other media, including rental of video;SERA04;;
;Shelter;Recreation services;Recreation services;Photographers and photo processing;SERD02;;
;Shelter;Recreation services;Recreation services;Unsampled photography;SERD09;;
;Recreation commodities;Commodities less food and energy commodities;Recreation commodities;Newspapers and magazines;SERG01;;
;Recreation commodities;Commodities less food and energy commodities;Recreation commodities;Recreational books;SERG02;;
;Recreation commodities;Commodities less food and energy commodities;Recreation commodities;Unsampled recreational reading materials;SERG09;;
;Shelter;Rent of shelter;Rent of shelter;Owners’ equivalent rent of primary Residence;SEHC01;;
;Shelter;Rent of shelter;Rent of shelter;Rent of primary residence;SEHA01;;
;Shelter;Rent of shelter;Rent of shelter;Unsampled owners’ equivalent rent of secondary residences;SEHC09;;
;Shelter;Rent of shelter;Rent of shelter;Other lodging away from home including hotels and motels;SEHB02;;
;Shelter;Rent of shelter;Rent of shelter;Tenants’ and household insurance;SEHD01;;
;Shelter;Rent of shelter;Rent of shelter;Domestic services;SEHP01;;
;Shelter;Rent of shelter;Rent of shelter;Housing at school, excluding board;SEHB01;;
;Recreation commodities;Commodities less food and energy commodities;Recreation commodities;Sports vehicles including bicycles;SERC01;;
;Recreation commodities;Commodities less food and energy commodities;Recreation commodities;Sports equipment;SERC02;;
;Recreation commodities;Commodities less food and energy commodities;Recreation commodities;Unsampled sporting goods;SERC09;;
;Other food at home;Food at home;Other food at home;Candy and chewing gum;SEFR02;;
;Other food at home;Food at home;Other food at home;Other sweets;SEFR03;;
;Other food at home;Food at home;Other food at home;Sugar and sugar substitutes;SEFR01;;
;Other goods;Commodities less food and energy commodities;Other goods;Cigarettes;SEGA01;;
;Other goods;Commodities less food and energy commodities;Other goods;Tobacco products other than cigarettes;SEGA02;;
;Other goods;Commodities less food and energy commodities;Other goods;Unsampled tobacco and smoking products;SEGA09;;
;Household furnishings and supplies;Commodities less food and energy commodities;Household furnishings and supplies;Outdoor equipment and supplies;SEHM02;;
;Household furnishings and supplies;Commodities less food and energy commodities;Household furnishings and supplies;Tools, hardware and supplies;SEHM01;;
;Household furnishings and supplies;Commodities less food and energy commodities;Household furnishings and supplies;Unsampled tools, hardware, outdoor equipment and supplies;SEHM09;;
;Shelter;Transportation services;Transportation services;Motor vehicle insurance;SETE01;;
;Shelter;Transportation services;Transportation services;Motor vehicle repair;SETD03;;
;Shelter;Transportation services;Transportation services;Motor vehicle maintenance and servicing;SETD02;;
;Shelter;Transportation services;Transportation services;Leased cars and trucks;SETA03;;
;Shelter;Transportation services;Transportation services;State motor vehicle registration and license fees;SETF01;;
;Shelter;Transportation services;Transportation services;Intracity transportation;SETG03;;
;Shelter;Transportation services;Transportation services;Parking and other fees;SETF03;;
;Shelter;Transportation services;Transportation services;Other intercity transportation;SETG02;;
;Shelter;Transportation services;Transportation services;Car and truck rental;SETA04;;
;Shelter;Transportation services;Transportation services;Motor vehicle body work;SETD01;;
;Shelter;Transportation services;Transportation services;Unsampled motor vehicle fees;SETF09;;
;Shelter;Transportation services;Transportation services;Unsampled public transportation;SETG09;;
;Transportation commodities less motor fuel;Commodities less food and energy commodities;Transportation commodities less motor fuel;Used cars and trucks;SETA02;;
;Transportation commodities less motor fuel;Commodities less food and energy commodities;Transportation commodities less motor fuel;Unsampled new and used motor vehicles;SETA09;;
;Utility (piped) gas service;Energy services;Utility (piped) gas service;Airline fares;SETG01;;
;Recreation commodities;Commodities less food and energy commodities;Recreation commodities;Televisions;SERA01;;
;Recreation commodities;Commodities less food and energy commodities;Recreation commodities;Unsampled video and audio;SERA09;;
;Recreation commodities;Commodities less food and energy commodities;Recreation commodities;Audio equipment;SERA05;;
;Recreation commodities;Commodities less food and energy commodities;Recreation commodities;Recorded music and music subscriptions;SERA06;;
;Recreation commodities;Commodities less food and energy commodities;Recreation commodities;Other video equipment;SERA03;;
;Shelter;Household operations;Water and sewer and trash collection services;Water and sewerage maintenance;SEHG01;;
;Shelter;Household operations;Water and sewer and trash collection services;Utility (piped) gas service;SEHF02;;
;Shelter;Household operations;Water and sewer and trash collection services;Garbage and trash collection;SEHG02;;
;Household furnishings and supplies;Commodities less food and energy commodities;Household furnishings and supplies;Other linens;SEHH03;;
;Household furnishings and supplies;Commodities less food and energy commodities;Household furnishings and supplies;Window coverings;SEHH02;;
;Household furnishings and supplies;Commodities less food and energy commodities;Household furnishings and supplies;Floor coverings;SEHH01;;
;Apparel;Commodities less food and energy commodities;Apparel;Women’s suits and separates;SEAC03;;
;Apparel;Commodities less food and energy commodities;Apparel;Women’s underwear, nightwear, swimwear, and accessories;SEAC04;;
;Apparel;Commodities less food and energy commodities;Apparel;Girls’ apparel;SEAD01;;
;Apparel;Commodities less food and energy commodities;Apparel;Women’s dresses;SEAC02;;
;Apparel;Commodities less food and energy commodities;Apparel;Women’s outerwear;SEAC01;;
;Apparel;Commodities less food and energy commodities;Apparel;Unsampled women’s apparel;SEAC09;;